targetId,comparatorId,outcomeId,outcomeName,type
492,494,378256,Abnormal reflex,outcome
492,494,440424,Aphasia,outcome
492,494,439237,Assault,outcome
492,494,378424,Astigmatism,outcome
492,494,261880,Atelectasis,outcome
492,494,134118,Atrophic condition of skin,outcome
492,494,4224118,Bladder dysfunction,outcome
492,494,80509,Bone cyst,outcome
492,494,434626,Borderline personality disorder,outcome
492,494,438407,Bulimia nervosa,outcome
492,494,134765,Cachexia,outcome
492,494,4172458,Candidiasis of skin,outcome
492,494,436740,Cervical incompetence,outcome
492,494,381581,Chalazion,outcome
492,494,4307254,Closed fracture,outcome
492,494,4047787,Colles' fracture,outcome
492,494,198075,Condyloma acuminatum,outcome
492,494,73302,Curvature of spine,outcome
492,494,4242416,Cutis laxa,outcome
492,494,433163,Deficiency of macronutrients,outcome
492,494,4047269,Deformity of foot,outcome
492,494,133228,Dental caries,outcome
492,494,4147672,Disease due to Papilloma virus,outcome
492,494,4153380,Disorder of carotid artery,outcome
492,494,4140510,Disorder of lymphatic vessel,outcome
492,494,433440,Dysthymia,outcome
492,494,376132,Ectropion,outcome
492,494,440695,Encopresis,outcome
492,494,438872,Excessive eating - polyphagia,outcome
492,494,78804,Fibrocystic disease of breast,outcome
492,494,4131595,Fracture of radius,outcome
492,494,74855,Genital herpes simplex,outcome
492,494,441788,Human papilloma virus infection,outcome
492,494,76737,Hydrocele,outcome
492,494,4029582,Hyperandrogenization syndrome,outcome
492,494,195212,Hypercortisolism,outcome
492,494,438134,Hypersomnia,outcome
492,494,140362,Hypoparathyroidism,outcome
492,494,4322737,Infection of tooth,outcome
492,494,4207688,Infectious enteritis,outcome
492,494,79072,Inflammatory disorder of breast,outcome
492,494,139099,Ingrowing nail,outcome
492,494,4288544,Inguinal hernia,outcome
492,494,444191,Injury of face,outcome
492,494,444130,Injury of foot,outcome
492,494,134222,Injury of forearm,outcome
492,494,4029966,Intracranial aneurysm,outcome
492,494,437409,Intracranial injury,outcome
492,494,4297984,Local infection of wound,outcome
492,494,4018050,Localized infection,outcome
492,494,439840,Lymphangitis,outcome
492,494,4163232,Mastitis,outcome
492,494,440389,Mental retardation,outcome
492,494,436100,Narcolepsy,outcome
492,494,4262178,Neurogenic dysfunction of the urinary bladder,outcome
492,494,193874,Nocturnal enuresis,outcome
492,494,4171549,Nodular goiter,outcome
492,494,442274,Oligomenorrhea,outcome
492,494,4215978,Onychomycosis,outcome
492,494,4171915,Orchitis,outcome
492,494,380731,Otitis externa,outcome
492,494,378160,Otorrhea,outcome
492,494,192606,Paraplegia,outcome
492,494,253796,Pneumothorax,outcome
492,494,195501,Polycystic ovaries,outcome
492,494,4153877,Post-traumatic wound infection,outcome
492,494,434319,Premature ejaculation,outcome
492,494,373478,Presbyopia,outcome
492,494,199876,Prolapse of female genital organs,outcome
492,494,4295888,Prolapse of intestine,outcome
492,494,194997,Prostatitis,outcome
492,494,4146239,Pruritus of genital organs,outcome
492,494,4285569,Pupillary disorder,outcome
492,494,81336,Rectal prolapse,outcome
492,494,380395,Retinal dystrophy,outcome
492,494,141825,Simple goiter,outcome
492,494,137054,Skin striae,outcome
492,494,434630,Sleep-wake schedule disorder,outcome
492,494,4195698,Tenosynovitis,outcome
492,494,4339088,Testicular mass,outcome
492,494,133141,Tinea pedis,outcome
492,494,440814,Torticollis,outcome
492,494,435140,Toxic effect of alcohol,outcome
492,494,4270490,Tracheitis,outcome
492,494,4028970,Tracheobronchitis,outcome
492,494,193326,Urge incontinence of urine,outcome
492,494,4092565,Uterine prolapse,outcome
492,494,140641,Verruca vulgaris,outcome
492,494,197036,Vesicoureteric reflux,outcome
492,494,261326,Viral pneumonia,outcome
